연번,보호구역아이디,시설종류,대상시설명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관리기관전화번호,관할경찰서명,CCTV설치여부,CCTV설치대수,데이터기준일자,이미지명,비고,구,zone_id,dist_nearest_stop_m,stops_in_300m,bus_category,slope_deg,slope_category,has_slope,accident_count,serious_count,minor_count,severity_score,slope_x_bus,risk_score_poisson,n_slope,n_bus,risk_score_spearman,risk_index,risk_index_scaled,위험등급
6,성남-01-006,초등학교,구미초등학교,경기도,성남시 분당구,41135,경기도 성남시 분당구 미금로22번길 25,경기도 성남시 분당구 구미동 215,37.337756,127.118398,경기도 성남시청,031-729-3672,분당경찰서,Y,3,2022-08-26,성남-01-006-B-01.jpeg,,분당구,0,66.48125924299126,14,1.0,4.654176320743563,1,True,0,0,0,0,1.0,0.31643831499471753,0.3333333333333333,0.3333333333333333,-0.059246,0.31643831499471753,33.78120257319329,고위험
7,성남-01-007,초등학교,내정초등학교,경기도,성남시 분당구,41135,경기도 성남시 분당구 내정로174번길 19,경기도 성남시 분당구 수내동 57,37.373116,127.121826,경기도 성남시청,031-729-3672,분당경찰서,Y,2,2022-08-29,성남-01-007-B-01.jpeg,,분당구,1,144.52854377888463,11,0.0,2.292107106670682,0,True,0,0,0,0,0.0,0.27701358966788153,0.0,0.0,0.0,0.27701358966788153,0.0,저위험
8,성남-01-008,초등학교,돌마초등학교,경기도,성남시 분당구,41135,경기도 성남시 분당구 야탑로96번길 7,경기도 성남시 분당구 야탑동 515,37.409099,127.130378,경기도 성남시청,031-729-3672,분당경찰서,Y,3,2022-07-27,성남-01-008-B-01.jpeg,,분당구,2,69.49187503064533,3,1.0,2.002998495976287,0,True,0,0,0,0,0.0,0.30172490688817327,0.0,0.3333333333333333,0.0,0.30172490688817327,21.173971560960762,중위험
9,성남-01-009,초등학교,성남미금초등학교,경기도,성남시 분당구,41135,경기도 성남시 분당구 미금로 151,경기도 성남시 분당구 구미동 68,37.347422,127.115303,경기도 성남시청,031-729-3672,분당경찰서,Y,5,2022-08-17,성남-01-009-B-01.jpeg,미금초등학교에서 명칭변경,분당구,3,65.43384195083824,11,1.0,0.6724950001127928,0,True,0,0,0,0,0.0,0.30172490688817327,0.0,0.3333333333333333,0.0,0.30172490688817327,21.173971560960762,중위험
10,성남-01-010,초등학교,백현초등학교,경기도,성남시 분당구,41135,경기도 성남시 분당구 백현로144번길 26,경기도 성남시 분당구 정자동 76,37.372181,127.110953,경기도 성남시청,031-729-3672,분당경찰서,Y,2,2022-08-25,성남-01-010-B-01.jpeg,,분당구,4,264.1870059370461,2,0.0,1.4872599953478454,0,True,0,0,0,0,0.0,0.27701358966788153,0.0,0.0,0.0,0.27701358966788153,0.0,저위험
11,성남-01-011,초등학교,분당초등학교,경기도,성남시 분당구,41135,경기도 성남시 분당구 중앙공원로32번길 20,경기도 성남시 분당구 서현동 92-1,37.378827,127.129493,경기도 성남시청,031-729-3672,분당경찰서,Y,3,2022-08-31,성남-01-011-B-01.jpeg,,분당구,5,66.36992218452225,9,1.0,1.0447699789678477,0,True,0,0,0,0,0.0,0.30172490688817327,0.0,0.3333333333333333,0.0,0.30172490688817327,21.173971560960762,중위험
13,성남-01-013,초등학교,탄천초등학교,경기도,성남시 분당구,41135,경기도 성남시 분당구 내정로 20,경기도 성남시 분당구 정자동 195,37.361893,127.115634,경기도 성남시청,031-729-3672,분당경찰서,Y,3,2022-08-17,성남-01-013-B-01.jpeg,,분당구,6,57.34681878190289,13,1.0,3.7534112132567894,1,True,0,0,0,0,1.0,0.31643831499471753,0.3333333333333333,0.3333333333333333,-0.059246,0.31643831499471753,33.78120257319329,고위험
14,성남-01-014,초등학교,하탑초등학교,경기도,성남시 분당구,41135,경기도 성남시 분당구 양현로 262,경기도 성남시 분당구 야탑동 531,37.407411,127.126256,경기도 성남시청,031-729-3672,분당경찰서,Y,1,2022-08-31,성남-01-014-B-01.jpeg,,분당구,7,201.89739747757866,8,0.0,1.507081269073606,0,True,0,0,0,0,0.0,0.27701358966788153,0.0,0.0,0.0,0.27701358966788153,0.0,저위험
15,성남-01-015,초등학교,늘푸른초등학교,경기도,성남시 분당구,41135,경기도 성남시 분당구 정자일로 87,경기도 성남시 분당구 정자동 178-5,37.358164,127.105246,경기도 성남시청,031-729-3672,분당경찰서,Y,3,2022-08-25,성남-01-015-B-01.jpeg,,분당구,8,82.39119515721141,7,1.0,0.7161704916608681,0,True,0,0,0,0,0.0,0.30172490688817327,0.0,0.3333333333333333,0.0,0.30172490688817327,21.173971560960762,중위험
16,성남-01-016,초등학교,보평초등학교,경기도,성남시 분당구,41135,경기도 성남시 분당구 동판교로 154,경기도 성남시 분당구 삼평동 743,37.395704,127.117922,경기도 성남시청,031-729-3672,분당경찰서,Y,6,2022-07-27,성남-01-016-B-01.jpeg,,분당구,9,130.04563240208998,5,0.0,1.0183124046675671,0,True,1,1,0,2,0.0,0.27701358966788153,0.0,0.0,0.0,0.27701358966788153,0.0,저위험
